date_dd/mm/yyyy,startup_name,industry_vertical,subvertical,city__location,investors_name,investmentntype,amount_in_usd,city_location
2017-10-12,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,seed funding,235000.0,Hyderabad
2017-10-13,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",private equity,77000000.0,Gurgaon
2017-10-13,Gapoon,Consumer Internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",seed funding,250000.0,Bangalore
2017-10-13,Chaayos,eCommerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,private equity,2000000.0,Gurgaon
2017-10-16,KrazyBee,Consumer Internet,Micro-lending platform,Bangalore,"Xiaomi Technologies, Shunwei Capital",private equity,8000000.0,Bangalore
2017-10-16,Renew Buy,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,private equity,9200000.0,New Delhi
2017-10-17,Fingerlix,Consumer Internet,Food Ordering Portal,Bangalore,"Accel Partners, Zephyr Peacock",private equity,7000000.0,Bangalore
2017-10-18,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,private equity,7000000.0,Chennai
2017-10-18,Hasura,Technology,App building platform,Chennai,"Nexus, GREE Ventures",private equity,1700000.0,Chennai
2017-10-18,BlackBuck,Logistics,B2B Logistics provider,Bangalore,Innoven Capital,private equity,7700000.0,Bangalore
2017-10-18,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,seed funding,500000.0,Mumbai
2017-10-23,Toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",private equity,7000000.0,Mumbai
2017-10-23,RAW Pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",private equity,6000000.0,Mumbai
2017-10-23,Cashe,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,debt funding,3100000.0,Mumbai
2017-10-23,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,seed funding,118000.0,Kolkata
2017-10-24,TagBox,Technology,Cold Chain monitoring solution,Bangalore,"Indian Angel network, IAN Fund",seed funding,1700000.0,Bangalore
2017-10-24,FYRE,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,seed funding,500000.0,Mumbai
2017-10-24,ZipLoan,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",private equity,3000000.0,New Delhi
2017-10-24,Skillenza,Consumer Internet,Online Learning Platform,Bangalore,"Blume Ventures, Indian Angel Network",seed funding,722000.0,Bangalore
2017-10-24,Chevon,Food & Beverage,Frozen Meat provider,Mumbai,Greenfield Advisory,private equity,1700000.0,Mumbai
2017-10-25,PropStory,Consumer Internet,Real Estate content portal,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",seed funding,1700000.0,Gurgaon
2017-10-25,SpotDraft,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",seed funding,550000.0,Gurgaon
2017-10-26,Big Basket,eCommerce,Online Grocery portal,Bangalore,Helion Ventures Partners,private equity,5000000.0,Bangalore
2017-10-27,OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurgaon,Kotak Mahindra Bank,debt funding,3800000.0,Gurgaon
2017-10-27,Olly Credit,Technology,Credit + payment mobile app,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",seed funding,1700000.0,New Delhi
2017-10-28,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,seed funding,120000.0,New Delhi
2017-10-28,Ola,Consumer Internet,App based cab hailing services,Bangalore,ANI Technologies Pvt. Ltd,private equity,7700000.0,Bangalore
2017-10-30,GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,private equity,2000000.0,Coimbatore
2017-10-31,NetMeds,ECommerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,private equity,14000000.0,Chennai
2017-10-31,MSE,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",private equity,32000000.0,Mumbai
2017-09-01,Aahaa Stores,eCommece,Online B2B store for office supplies,Chennai,YourNest Angel Fund,private equity,1000000.0,Chennai
2017-09-01,MFine,Consumer Internet,Online Doctor Discovery platform,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",private equity,1500000.0,Bangalore
2017-09-01,Canvera,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,private equity,1300000.0,Mumbai
2017-09-04,PrimaryIO,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",private equity,5600000.0,Pune
2017-09-05,Shubh Loans,Consumer Internet,online lending platform,Bangalore,"SRI Capital, BeeNext, Pravega Ventures",private equity,1500000.0,Bangalore
2017-09-05,Nest Education,Technology,EduTech Platform,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",seed funding,600000.0,Gurgaon
2017-09-06,Lending Kart,Consumer Internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",private equity,10750000.0,Ahmedabad
2017-09-06,GoFro,Consumer Internet,Online travel booking platform,New Delhi,"HIS Co. Ltd, MakeMyTrip",private equity,10000000.0,New Delhi
2017-09-06,OncoStem,Healthcare,Medical Diagnostic Solutions,Bangalore,"Sequoia Capital India, Artiman Ventures",private equity,6000000.0,Bangalore
2017-09-06,Power2SME,eCommerce,Buying Club for Small Businesses,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",private equity,26000000.0,Gurgaon
2017-09-07,Credit Vidya,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,private equity,5000000.0,Mumbai
2017-09-07,Tails Life,Consumer Internet,Pet care portal & mobile app,Bangalore,V Balakrishnan.,private equity,1700000.0,Bangalore
2017-09-07,Oyo,Consumer Internet,Branded budget hotels marketplace,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",private equity,250000000.0,Gurgaon
2017-09-07,Early Salary,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,debt funding,780000.0,Pune
2017-09-07,MamaEarth,eCommerce,online babycare products marketplace,Gurgaon,Fireside Ventures,seed funding,1700000.0,Gurgaon
2017-09-07,Seniority,eCommerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,private equity,1000000.0,Pune
2017-09-08,AYE Finance,Consumer Internet,Micro Lending Platform,New Delhi,"Triodos Investment Management,",debt funding,6900000.0,New Delhi
2017-09-08,Farmizen,Technology,Agre-Tech Mobile app,Bangalore,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",seed funding,1700000.0,Bangalore
2017-09-11,Ecom Express,Logistics,Logistics Solutions provider,New Delhi,Warburg Pincus,private equity,30000000.0,New Delhi
2017-09-11,Call Health,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",private equity,6200000.0,Hyderabad
2017-09-12,Sattviko,eCommerce,Health Food etailer,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",seed funding,1700000.0,New Delhi
2017-09-12,3HCare,Consumer Internet,Healthcare services portal,New Delhi,Undisclosed Investor,seed funding,100000.0,New Delhi
2017-09-12,Tonbo Imaging,Technology,Imaging Technology for Armed Forces,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",private equity,17000000.0,Bangalore
2017-09-12,Get My Parking,Consumer Internet,Smart Parking Enabler,New Delhi,"IAN Fund, Beenext, Indian Angel Network",private equity,3000000.0,New Delhi
2017-09-13,WittyFeed,Technology,Content marketing platform,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",seed funding,1700000.0,Indore
2017-09-13,Glowroad,Consumer Internet,women focussed customer-to-customer reseller network,Bangalore,"Accel Partners,",private equity,2000000.0,Bangalore
2017-09-13,Oyo,Consumer Internet,udget hotel marketplace,Gurgaon,China Lodging Group,private equity,10000000.0,Gurgaon
2017-09-13,UnAcademy,Consumer Internet,Online learning platform,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",private equity,11500000.0,Mumbai
2017-09-13,Heterogenous,Technology,Telecom & IoT platform,Chennai,"Chennai Angels, Keiretsu Forum & Others",seed funding,780000.0,Chennai
2017-09-14,Gurukul,Consumer Internet,co-working space provider,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",seed funding,1700000.0,New Delhi
2017-09-14,Smaaash,Technology,Virtual Reality gaming and entertainment platform,Mumbai,ECL Finance,private equity,44000000.0,Mumbai
2017-09-14,WheelStreet,Consumer Portal,Bike Rental Platform,Bangalore,Y Combinator,seed funding,120000.0,Bangalore
2017-09-14,Xprep,Consumer Internet,Online Tutoring Platform,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",private equity,1700000.0,New Delhi
2017-09-18,The Moms Co,eCommerce,Pregnancy & Baby Care product etailer,Gurgaon,"DSG Consumer Partners, Saama Capital",private equity,1000000.0,Gurgaon
2017-09-19,Noticeboard,Technology,"mobile-first communication platform for on-field staff,",Bangalore,"Shamik Sharma, Aprameya Radhakrishna",seed funding,1700000.0,Bangalore
2017-09-19,High Radius,Technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,private equity,50000000.0,Hyderabad
2017-09-20,HWell24 Plus,Healthcare,Technology-Empowered Healthcare Solutions,Mumbai,Undisclosed Investors,seed funding,1700000.0,Mumbai
2017-09-21,SaveBC,Finance,financial services firm,Gaya,Incofin Investment Management.,private equity,6000000.0,Gaya
2017-09-21,Gaming Monk,Consumer Internet,E-sports platform,New Delhi,AdvantEdge,private equity,1700000.0,New Delhi
2017-09-21,91SpringBoard,Consumer Internet,Co-working spaces,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",private equity,1700000.0,New Delhi
2017-09-21,Homergize,eCommerce,Home Furnishing & Building material marketplace,Bangalore,LG Chandrasekhar,private equity,1000000.0,Bangalore
2017-09-22,Yatra.com,eCommerce,Online Travel Agency,Gurgaon,InnoVen Capital India,debt funding,15400000.0,Gurgaon
2017-09-22,Ace Turtle,Technology,Omni-channel web commerce solutions provider,Bangalore,InnoVen Capital,private equity,1700000.0,Bangalore
2017-09-25,Vogo,Consumer Internet,Scooter Rental Platform,Bangalore,AV Thomas Group,seed funding,1700000.0,Bangalore
2017-09-25,Synup,Technology,SME Marketing Management Solution,Bangalore,"Vertex Ventures, Prime Venture Partners.",private equity,6000000.0,Bangalore
2017-09-25,Tinmen,Consumer Internet,Food Delivery platform,Hyderabad,Zomato Media Pvt. Ltd,private equity,1700000.0,Hyderabad
2017-09-25,Cropin,Technology,Crop Technology Solutions,Bangalore,Beenext,private equity,1700000.0,Bangalore
2017-09-25,Rapido,Consumer Internet,Bike Aggregator Mobile App,Bangalore,Battery Road Digital Holdings LLC,seed funding,422000.0,Bangalore
2017-09-25,Sportobuddy,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,seed funding,150000.0,Mumbai
2017-09-26,Credifiable,Consumer Internet,Online consumer lending platform,Bangalore,Kae Capital,private equity,1700000.0,Bangalore
2017-09-26,Inclov,Consumer Internet,Matchmaking app for the differently abled,Gurgaon,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",seed funding,1700000.0,Gurgaon
2017-09-26,Multibhashi,Consumer Internet,Language learning Mobile App,Bangalore,"Aniruddha Malpani, Startup Oasis",seed funding,1700000.0,Bangalore
2017-09-27,Transerve,Technology,Geospatial Technology-based SaaS solutions,Mumbai,"IL&FS Investment Managers, Omidyar Network.",private equity,1600000.0,Mumbai
2017-09-27,Fashalot,Consumer Internet,O2O fashion discovery platform,Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",private equity,1700000.0,Gurgaon
2017-09-27,Pitstop,Consumer Internet,Car repair and Servicing Platform,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",private equity,1000000.0,Bangalore
2017-09-27,GoChoppers,Consumer Internet,Luxury Helicopter Tourism Services portal,Gurgaon,"Rivergate Capital,",seed funding,1700000.0,Gurgaon
2017-09-27,MyUpchar,Consumer Internet,Local Language Health Information portal,New Delhi,LetsVenture,seed funding,300000.0,New Delhi
2017-09-28,Aadyah,Technology,Defense Tech & Aerospace startup,Bangalore,Keiretsu Forum,private equity,1000000.0,Bangalore
2017-08-01,TouchKin,Technology,Predictive Care Platform,Bangalore,Kae Capital,private equity,1300000.0,Bangalore
2017-08-02,Ethinos,Technology,Digital Marketing Agency,Mumbai,Triton Investment Advisors,private equity,1700000.0,Mumbai
2017-08-02,Leverage Edu,Consumer Internet,Online platform for Higher Education Services,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",seed funding,1700000.0,New Delhi
2017-08-02,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",seed funding,500000.0,Mumbai
2017-08-02,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",seed funding,850000.0,Hyderabad
2017-08-03,SpeedBox,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,seed funding,300000.0,Mumbai
2017-08-03,Skill Connect,Consumer Internet,Recruitment Portal,Jaipur,Rajasthan Angel Investor Network,seed funding,1700000.0,Jaipur
2017-08-03,Chai Point,Consumer Internet,Tea Delivery Portal & offline stores,Bangalore,"DSG Consumer Partners, Eight Roads Ventures India",private equity,1700000.0,Bangalore
2017-08-03,Zoctr,Consumer Internet,Health Products & Services Aggregator,Mumbai,SIDBI,private equity,1700000.0,Mumbai
2017-08-04,Lime Tray,Technology,Restaurant Management Solutions,New Delhi,JSW Ventures,private equity,1700000.0,New Delhi
2017-08-04,CoutLoot,eCommerce,Fashion Resale Marketplace,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",seed funding,1700000.0,Mumbai
2017-08-04,Box My Space,Logistics,Warehouse Aggregator,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",seed funding,1700000.0,Mumbai
2017-08-05,Curatio,Healthcare,Skincare Speciality services,Chennai,Anicut Capital,private equity,1700000.0,Chennai
2017-08-08,New Castle Technologies,Technology,Hospital Management Software,Chennai,Undisclosed investors,seed funding,243000.0,Chennai
2017-08-08,My Forex Eye,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",seed funding,220000.0,New Delhi
2017-08-09,TruxApp,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",seed funding,3100000.0,New Delhi
2017-08-09,CroFarm,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,seed funding,783000.0,Gurgaon
2017-08-09,DoodhWala,Consumer Internet,Online milk delivery,Bangalore,Tom Varkey,seed funding,1700000.0,Bangalore
2017-08-10,Stayabode,Consumer Internet,Co-Living space aggregator,Bangalore,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",private equity,1700000.0,Bangalore
2017-08-11,Flipkart,eCommerce,Online Marketplace,Bangalore,Softbank,private equity,2500000000.0,Bangalore
2017-08-11,Moong Labs,Technology,Mobile games developer,New Delhi,Nazara Games,private equity,1700000.0,New Delhi
2017-08-11,Ola,Consumer Internet,App based cab aggregation Service,Gurgaon,Tekne Capital Management,private equity,36000000.0,Gurgaon
2017-08-14,Sports Flashes,Consumer Internet,Sports Content Mobile App,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",private equity,1700000.0,New Delhi
2017-08-14,Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",seed funding,312000.0,Mumbai
2017-08-15,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",seed funding,385000.0,Bangalore
2017-08-17,Get Simpl,Consumer Internet,Payment Solution Mobile app,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",seed funding,1700000.0,Mumbai
2017-08-20,Rootefy,eCommerce,Building material online store,New Delhi,"Abhinav Gupta,",seed funding,187000.0,New Delhi
2017-08-21,Uniphore,Technology,speech recognition startup,Chennai,IDG Ventures,private equity,6800000.0,Chennai
2017-08-21,Cerebroz,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,seed funding,734000.0,Vadodara
2017-08-22,Flochat,Consumer Internet,instant messaging platform,Mumbai,"iSquare Global,",seed funding,1700000.0,Mumbai
2017-08-22,EasyGov,Consumer Internet,Govt service application portal,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",seed funding,1700000.0,Noida
2017-08-23,Milk Basket,Consumer Internet,Online Grocery platform,Gurgaon,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),seed funding,1700000.0,Gurgaon
2017-08-23,Dhruva,Technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",private equity,80000000.0,Pune
2017-08-23,Bombay Shaving Company,eCommerce,Men Grooming product etailer,New Delhi,Fireside Ventures,private equity,2300000.0,New Delhi
2017-08-23,Awign,Technology,Operations and manpower outsourcing,Bangalore,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",seed funding,1700000.0,Bangalore
2017-08-23,Indiez,Technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,seed funding,500000.0,Bangalore
2017-08-24,Ezetap,Technology,mPOS solutions provider,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",private equity,16000000.0,Bangalore
2017-08-25,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",seed funding,750000.0,Chennai
2017-08-25,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bangalore,"PBS Srinivas, Vinod Martin,",seed funding,125000.0,Bangalore
2017-08-28,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",private equity,7000000.0,Pune
2017-08-29,CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",private equity,25000000.0,Bangalore
2017-08-29,Doxper,Technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",seed funding,750000.0,Mumbai
2017-08-29,Fieldassist,Technology,SAAS based sales force automation services,Gurgaon,Small Industries Development Bank of India (SIDBI),debt funding,1700000.0,Gurgaon
2017-08-30,Treebo,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,"Ward Ferry Management and Karst Peak Capital,",private equity,34000000.0,Bangalore
2017-08-30,MedGenome,Technology,Genomics Research and Diagnostics Solutions,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",private equity,30000000.0,Bangalore
2017-07-01,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,seed funding,1000000.0,Bangalore
2017-07-03,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",private equity,2600000.0,Ahmedabad
2017-07-04,Droom,eCommerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",private equity,20000000.0,Gurgaon
2017-07-05,Jumbotail,eCommerce,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",private equity,8500000.0,Bangalore
2017-07-05,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",private equity,12000000.0,Noida
2017-07-05,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,private equity,1000000.0,Mumbai
2017-07-06,Minjar,Technology,Cloud Solutions provider,Bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",seed funding,1700000.0,Bangalore
2017-07-06,MyCity4kids,Consumer Internet,parenting blog and kids\\xe2\\x80\\x99 events discovery platform,Gurgaon,Not Disclosed,seed funding,1700000.0,Gurgaon
2017-07-07,Clip App,Consumer Internet,Digital Media Video platform,Bangalore,"India Quotient, Shunwei Capital",seed funding,1000000.0,Bangalore
2017-07-07,Upwardly.in,Consumer Internet,MF investment platform,Bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",seed funding,1700000.0,Bangalore
2017-07-10,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,private equity,3000000.0,Hyderabad
2017-07-11,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,private equity,2250000.0,Pune
2017-07-11,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",seed funding,464000.0,Mumbai
2017-07-11,Design Cafe,Consumer Internet,Online Interior Design platform,Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",seed funding,1700000.0,Bangalore
2017-07-12,Innoviti,Technology,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",private equity,18500000.0,Bangalore
2017-07-12,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,"Corvus Ventures, MAPE Advisory Group",private equity,1700000.0,Hyderabad
2017-07-12,Bottr.me,Technology,Chatbot creation tool,Bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",seed funding,1700000.0,Bangalore
2017-07-12,Arcatron,Technology,Next Gen Mobility device manufacturer,Pune,Indian Angel Network,seed funding,1700000.0,Pune
2017-07-14,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",seed funding,540000.0,Bangalore
2017-07-14,Chumbak,eCommerce,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,private equity,1700000.0,Bangalore
2017-07-17,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",seed funding,2000000.0,Bangalore
2017-07-17,Vayana,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",private equity,4000000.0,Pune
2017-07-18,MObiquest,Technology,Mobile Services & Solutions,Noida,One97 Communication Ltd,private equity,1700000.0,Noida
2017-07-18,Ambee,Consumer Internet,Ambulance Aggregation Services,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",seed funding,1700000.0,Hyderabad
2017-07-18,Ideal Insurance,Consumer Internet,Online Insurance platform,Kolkata,Xelpmoc,seed funding,1700000.0,Kolkata
2017-07-18,Hypernova Interactive,Technology,Mobile games creator,Bangalore,Kae Capital,seed funding,1700000.0,Bangalore
2017-07-19,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,"ain Capital Ventures, Renaud Laplanche",private equity,10000000.0,Bangalore
2017-07-19,AirCTO,Consumer Internet,AI powered recruitment platform,Bangalore,Francesco Cara,seed funding,1700000.0,Bangalore
2017-07-19,Playablo,Technology,Gamified Learning App,Bangalore,ABI-Showatech (India) Ltd,seed funding,600000.0,Bangalore
2017-07-20,Trupay,Technology,Online payments platform,Gurgaon,"Kae Capital, M&S Partners,",seed funding,700000.0,Gurgaon
2017-07-21,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",seed funding,200000.0,Gurgaon
2017-07-21,FableStreet,eCommerce,Women Work wear etailer,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",seed funding,1700000.0,New Delhi
2017-07-21,Monsoon Fintech,Technology,Machine Learning Access platform,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",seed funding,1700000.0,New Delhi
2017-07-21,MonkeyBox,Consumer Internet,Healthy Food Delivery Platform,Bangalore,"Blume Ventures, NB Ventures, Nspira",seed funding,1700000.0,Bangalore
2017-07-25,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,Bangalore,"Stellaris Venture Partners,",private equity,1200000.0,Bangalore
2017-07-25,Byju\\xe2\\x80\\x99s,Consumer Internet,Mobile Learning App,Bangalore,Tencent Holdings,private equity,35000000.0,Bangalore
2017-07-26,Creator\\xe2\\x80\\x99s Gurukul,Others,Co-Working Space Provider,New Delhi,Yuvraj Singh,seed funding,1700000.0,New Delhi
2017-07-26,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,private equity,25000000.0,New Delhi
2017-07-26,ThinkerBell,Consumer Internet,Assisted Learning Startup,Bangalore,"Indian Angel Network, Anand Mahindra",seed funding,200000.0,Bangalore
2017-07-27,1mg,eCommerce,Online Pharmacy,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",private equity,15000000.0,Gurgaon
2017-07-28,Jhakaas,Consumer Internet,App-based Aggregator of Offline Businesses,Mumbai,Amen Dhyllon,seed funding,1700000.0,Mumbai
2017-07-28,BigStylist,Consumer Internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,private equity,1250000.0,Mumbai
2017-07-28,Gympik.com,Consumer Internet,online marketplace for discovering fitness centres,Bangalore,RoundGlass Partners,seed funding,1700000.0,Bangalore
2017-06-01,Tripeur,Technology,Mobile based travel ERP platform,Bangalore,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",seed funding,1700000.0,Bangalore
2017-06-02,RentOnGo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,TVS Motor Company,seed funding,234000.0,Bangalore
2017-06-05,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,private equity,50000000.0,Mumbai
2017-06-05,MaxMyWealth,Consumer Internet,Online Wealth Management & Savings platform,Mumbai,"lockchain ecosystem Global Advisors, Horseferry",private equity,1700000.0,Mumbai
2017-06-06,Spinny,eCommerce,Online Used Car marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",private equity,1000000.0,Gurgaon
2017-06-06,Healthbuds,Consumer Internet,Healthcare Discovery & booking platform,Kolkata,"Arun Patodia, Bharat Kedia",seed funding,1700000.0,Kolkata
